USERID,EMAILID,FIRSTNAME,LASTNAME,PASSWORD,AFFILIATION
36,jk@test.com,Juan,J,123=abc,UPenn
37,badge@test.com,Badger,X,123=abc,UPenn
38,reshma@test.com,Reshma,R,123=abc,UPenn
39,raj@test.com,Raj,J,123=abc,upenn
40,howard@test.com,Howard,Hughes,123=abc,upenn
41,leonard@test.com,Leo,J,123=abc,upenn
42,penn@test.com,Penny,Pincher,123=abc,upenn
43,sheldon@test.com,Sheldon,S,123=abc,upenn
44,edward@test.com,Edward,S,123=abc,upenn
45,amy@test.com,Amy,G,123=abc,upenn
46,gamy@test.com,Gamy,G,123=abc,upenn
47,hillary@test.com,Hillary,H,123=abc,upenn
48,bella@test.com,Bella,B,123=abc,upenn
49,kal@test.com,Kalpana,K,123=abc,upenn
50,ramanuja@test.com,Ramanuja,R,123=abc,upenn
51,b@b.com,Nintendo,Wee,123=abc,upenn
52,b1@b.com,Nintendo,Wee,123=abc,upenn
53,b2@b.com,Nintendo,Wee,123=abc,upenn
54,b3@b.com,Nintendo,Wee,123=abc,upenn
55,b333@b.com,Nintendo,Wee,123=abc,upenn
56,444b@b.com,Nintendo,Wee,123=abc,upenn
57,dsdsb@b.com,Nintendo,Wee,123=abc,upenn
58,bdsdsds@b.com,Nintendo,Wee,123=abc,upenn
59,b@bcccc.com,Nintendo,Wee,123=abc,upenn
60,b@xccxxb.com,Nintendo,Wee,123=abc,upenn
61,cjksljfadl@seas.upenn.edu,Nintendo,Wee,123=abc,upenn
62,b@bcccxcxcxdfsfsds.com,Nintendo,Wee,123=abc,upenn
63,jackl@a.com,Jacklyn,C,123=abc,upenn
64,mike@a.com,Mike,C,123=abc,upenn
65,ben@a.com,Ben,C,123=abc,upenn
66,b@dsdsnljhlb.com,Nintendo,Wee,123=abc,upenn
67,jane@a.com,Jane,J,123=abc,upenn
68,cath@a.com,Cathryn,C,123=abc,upenn
69,stp@a.com,Stephan,6,123=abc,Cis550
70,a@a.com,Nintendo,Wee,123=abc,y
71,b@hgruthurwihgsfuoab.com,Nintendo,Wee,123=abc,y
72,c@c.com,Nintendo,Wee,123=abc,y
73,d@d.com,Nintendo,Wee,123=abc,y
74,e@e.com,Nintendo,Wee,123=abc,y
75,f@f.com,Nintendo,Wee,123=abc,y
76,g@g.com,Nintendo,Wee,123=abc,y
77,h@h.com,Nintendo,Wee,123=abc,y
78,i@i.com,Nintendo,Wee,123=abc,y
79,j@j.com,Nintendo,Wee,123=abc,y
80,k@a.com,Nintendo,Wee,123=abc,y
81,l@a.com,Nintendo,Wee,123=abc,y
82,m@a.com,Nintendo,Wee,123=abc,y
83,n@a.com,Nintendo,Wee,123=abc,y
84,o@a.com,Nintendo,Wee,123=abc,y
85,p@a.com,Nintendo,Wee,123=abc,y
86,q@a.com,Nintendo,Wee,123=abc,y
87,r@a.com,Nintendo,Wee,123=abc,y
88,s@a.com,Nintendo,Wee,123=abc,y
89,t@a.com,Nintendo,Wee,123=abc,y
90,u@a.com,Nintendo,Wee,123=abc,y
91,v@a.com,Nintendo,Wee,123=abc,y
92,w@a.com,Nintendo,Wee,123=abc,y
93,x@a.com,Nintendo,Wee,123=abc,y
94,y@a.com,Nintendo,Wee,123=abc,y
95,z@a.com,Nintendo,Wee,123=abc,y
96,aa@a.com,Nintendo,Wee,123=abc,y
97,b@a.com,Nintendo,Wee,123=abc,y
98,c@a.com,Nintendo,Wee,123=abc,y
99,d@a.com,Nintendo,Wee,123=abc,y
100,e@a.com,Nintendo,Wee,123=abc,y
101,f@a.com,Nintendo,Wee,123=abc,y
102,g@a.com,Nintendo,Wee,123=abc,y
103,h@a.com,Nintendo,Wee,123=abc,y
104,i@a.com,Nintendo,Wee,123=abc,y
105,j@a.com,Nintendo,Wee,123=abc,y
106,a@b.com,Nintendo,Wee,123=abc,y
107,a@c.com,Nintendo,Wee,123=abc,y
108,a@d.com,Nintendo,Wee,123=abc,y
109,a@e.com,Nintendo,Wee,123=abc,y
110,1@weerocks.com,Nintendo,Wee,123=abc,upenn
111,sjohnson@seas.upenn.edu,Sarah,Johnson,123=abc,Engineering
112,awilliams@seas.upenn.edu,Ashley,Williams,123=abc,Wharton
113,hjones@seas.upenn.edu,Hannah,Jones,123=abc,College
114,jbrown@seas.upenn.edu,Jessica,Brown,123=abc,Nursing
115,tdavis@seas.upenn.edu,Taylor,Davis,123=abc,College
116,kmiller@seas.upenn.edu,Katie,Miller,123=abc,Engineering
117,twilson@seas.upenn.edu,Tyler,Wilson,123=abc,Engineering
118,amoore@seas.upenn.edu,Alex,Moore,123=abc,Wharton
119,ctaylor@seas.upenn.edu,Chris,Taylor,123=abc,Engineering
120,randerson@seas.upenn.edu,Ryan,Anderson,123=abc,Engineering
121,jthomas@seas.upenn.edu,Jacob,Thomas,123=abc,Engineering
122,sjackson@seas.upenn.edu,Samantha,Jackson,123=abc,Nursing
123,dwhite@seas.upenn.edu,David,White,123=abc,Wharton
124,nharris@seas.upenn.edu,Nick,Harris,123=abc,College
125,kmartin@seas.upenn.edu,Kayla,Martin,123=abc,Wharton
126,bguthrie@seas.upenn.edu,brendeng,brendeng,123=abc,GroupBUser
127,oesse@seas.upenn.edu,oliviae,oliviae,123=abc,GroupBUser
128,dcabrera@seas.upenn.edu,dannyc,dannyc,123=abc,GroupBUser
129,sprieto@seas.upenn.edu,samp,samp,123=abc,GroupBUser
130,jgarcia@seas.upenn.edu,javierg,javierg,123=abc,GroupBUser
131,magnese@seas.upenn.edu,maca,maca,123=abc,GroupBUser
132,apardo@seas.upenn.edu,andreap,andreap,123=abc,GroupBUser
133,zvolkman@seas.upenn.edu,zacharyv,zacharyv,123=abc,GroupBUser
134,jsui@seas.upenn.edu,jamess,jamess,123=abc,GroupBUser
135,ffuentes@seas.upenn.edu,fabiof,fabiof,123=abc,GroupBUser
136,joannabana@gmail.com,Joanne,Cosgrove,123=abc,4
137,jennie@seas.upenn.edu,Jennie,Ma,123=abc,3
138,leean33n@hotmail.com,Ann,Lee,123=abc,2
139,willie@gmail.com,William,Pe,123=abc,1
140,yJosh@gmail.com,Joshua,Pi,123=abc,5
141,bestyaoming@gmail.com,Daniel,Pa,123=abc,6
142,yaoyaodo@gmail.com,Jayden,Po,123=abc,10
143,ywhee@gmail.com,Noah,Jo,123=abc,11
144,themaster@gmail.com,Anthony,Master,123=abc,12
145,inthe@gmail.com,Chris,TimeyWimey,123=abc,7
146,beot@gmail.com,Aiden,Tardis,123=abc,8
147,flewby5@gmail.com,Matthew,Chan,123=abc,17
148,thedoctor@gmail.com,David,Tennant,123=abc,8
149,yayahdb@gmail.com,Andrew,Tay,123=abc,13
150,ffgf@gmail.com,Bella,Tan,123=abc,20
151,harrypotterrox9@gmail.com,Emma,Watson,123=abc,19
152,yaomingroxEROR@gmail.com,MingIT,Yao,123=abc,18
153,yaosdfOB@gmail.com,MingTHEM,Ysft,123=abc,16
154,yaomdsfsfODO@gmail.com,MingTHEY,Pu,123=abc,17
155,poohbaby@gmail.com,Minnie,Wang,123=abc,5
156,sids@seas.upenn.edu,Siddharth,Sampath,123=abc,Upenn
157,apurvar@seas.upenn.edu,Apurva,Rathi,123=abc,Upenn
158,sujith@seas.upenn.edu,Sujith,Pottem,123=abc,Upenn
159,saachi@gmail.com,Saachi,Rathi,123=abc,Tomoy
160,rjoshi@gmail.com,Richa,Joshi,123=abc,Holy Cross
161,dhruvs@vit.ac.in,Dhruv,Shah,123=abc,VIT
162,yashr@seas.upenn.edu,Yash,Rai,123=abc,Upenn
163,tulsip@yahoo.co.in,Tulsi,Patil,123=abc,NCC
164,karan@seas.upenn.edu,Karan,Sawney,123=abc,Upenn
165,udit@seas.upenn.edu,Udit,Mehta,123=abc,Upenn
166,arun@seas.upenn.edu,Arun,Venkat,123=abc,Upenn
167,utsav@seas.upenn.edu,Utsav,Mehta,123=abc,Upenn
168,rahul@seas.upenn.edu,Rahul,Vasist,123=abc,Upenn
169,sumukh@seas.upenn.edu,Sumukh,Narendra,123=abc,Upenn
170,ma@downtonabbey.org,Mary,Crawley,123=abc,Downton
171,ed@downtonabbey.org,Edith,Crawley,123=abc,Downton
172,sy@downtonabbey.org,Sybil,Crawley,123=abc,Downton
173,co@downtonabbey.org,Cora,Crawley,123=abc,Downton
174,ro@downtonabbey.org,Robert,Crawley,123=abc,Downton
175,vi@downtonabbey.org,Violet,Crawley,123=abc,Downton
176,is@downtonabbey.org,Isabel,Crawley,123=abc,Downton
177,mat@downtonabbey.org,Matthew,Crawley,123=abc,Downton
178,iamthedanger@en.com,Walter,White,123=abc,affiliation
179,swhite@en.com,Skyler,White,123=abc,a1a car wash
180,yo@en.com,Jesse,Pinkman,123=abc,ABQ
181,bettercallsaul@en.com,Saul,Goodman,123=abc,Saul Goodman Law
182,gustavo@en.com,Gus,Fring,123=abc,Los Pollos Hermanos
183,hanks@en.com,Hank,Schrader,123=abc,DEA
184,maries@en.com,Marie,Schrader,123=abc,DEA
185,ehrmantraut@en.com,Mike,Ehrmantraut,123=abc,Philadelphia police
186,wt201@fake.com,andy,lau,123=abc,dogLover
187,wt202@fake.com,britney,ubuntu,123=abc,penn
188,wt203@fake.com,chandler,bin,123=abc,tennis
189,wt204@fake.com,diane,drowsy,123=abc,insomnia
190,wt205@fake.com,eddie,pho,123=abc,chef
191,wt206@fake.com,fran,Drescher,123=abc,Sheffield
192,wt207@fake.com,geoff,Maji,123=abc,LAPD
193,wt208@fake.com,hilton,bonjure,123=abc,hilton
194,wt209@fake.com,ima,jin,123=abc,insomnia
195,wt210@fake.com,josh,brown,123=abc,ucsd
196,tc@drexel.edu,Tim,Couch,123=abc,Drexel
197,ra@upenn.edu,Ryan,Allen,123=abc,Upenn
198,ms@temple.edu,Michelle,Smith,123=abc,Temple
199,ma@freelibrary.org,Mark,Allen,123=abc,Free Library
200,bl@wharton.upenn.edu,Bob,Lemmon,123=abc,Wharton School
201,cc@philyart.org,Charlse,Couch,123=abc,Philadelphia Art Museum
202,ts@wharton.upenn.edu,Tom,Spalding,123=abc,Wharton School
203,tw@upenn.edu,Ted,White,123=abc,Upenn
204,kn@temple.edu,Kevin,Ney,123=abc,Temple
205,jw@temple.edu,James,Wilson,123=abc,Temple
206,gangxiang@upenn.edu,Gang Xiang,Xiang,123=abc,Upenn
207,benxiongwu@upenn.edu,Benxiong Wu,Wu,123=abc,Upenn
208,fentongyin@upenn.edu,Feitong Yin,Wu,123=abc,Upenn
209,boli@upenn.edu,Bo Li,Wu,123=abc,Upenn
210,ben@eniac.com,ben,Wu,123=abc,Engineering
211,xgang@eniadsdsdsdsc.com,John,Wu,123=abc,Engineering
212,xgang@eniac.com,Cathy,Wu,123=abc,Engineering
213,bo@eniac.com,Bob,Wu,123=abc,Engineering
214,foo@gmail.com,foo,Wu,123=abc,penn
215,bar@gmail.com,bar,Wu,123=abc,penn
216,honh@gmail.com,honh,Wu,123=abc,penn
217,gien@gmail.com,gien,Wu,123=abc,penn
218,Cindy13@gmail.com,Cindy,Wu,123=abc,Upenn
219,Findy14@gmail.com,Findy,Wu,123=abc,Upenn
220,Findy1555544@gmail.com,Francis,Wu,123=abc,Upenn
221,Sandy16@gmail.com,Sandy,Wu,123=abc,Upenn
222,sam@samadams.com,Sam,Adam,123=abc,Beer
223,hoop@joop.me,Hoop,Joop,123=abc,Space
224,bmo@mofactory.ooo,B,More,123=abc,Ooo
225,finnth@candykingdom.ooo,Finn,TheHuman,123=abc,Ooo
226,jtdog@candykingdom.ooo,Jake,TheDog,123=abc,Ooo
227,admin@candykingdom.ooo,Princess,Bubblegum,123=abc,Ooo
228,lady@candykingdom.ooo,Lady,Rainicorn,123=abc,Ooo
229,hamspanker@goblinkingdom.ooo,Xergiok,GoblinKing,123=abc,Ooo
230,gob@mars.ooo,Grob Gob,Glob Grod,123=abc,Mars
231,banned@mars.ooo,Magic,Man,123=abc,Mars
232,fionath@candykingdom.ooo,Fiona,TheHuman,123=abc,Ooo
233,ctcat@candykingdom.ooo,Cake,TheCat,123=abc,Ooo
234,lord@candykingdom.ooo,Lord,Monochromicorn,123=abc,Ooo
235,iceking@icekingdom.ooo,Simon,Petrikov,123=abc,Ooo
236,gunter@icekingdom.ooo,Gunter,Penguin,123=abc,Ooo
237,marcie@nightosphere.ooo,Marceline,Vampire Queen,123=abc,Ooo
238,marsh@nightosphere.ooo,Marshall,Lee,123=abc,Ooo
239,admin@nightosphere.ooo,Hunson,Abadeer,123=abc,Ooo
240,admin@mars.ooo,Abraham,Lincoln,123=abc,Mars
241,jamesbaxter@candykingdom.ooo,James,Baxter,123=abc,Ooo
242,cosmicowl@multiverse.ooo,Cosmic,Owl,123=abc,Multiverse
243,billy@candykingdom.ooo,Billy,Hogarth,123=abc,Ooo
244,prince@candykingdom.ooo,Prince,Gumball,123=abc,Ooo
245,goliad@candykingdom.ooo,Goliad,Sphinx,123=abc,Ooo
246,stormo@candykingdom.ooo,Stormo,Sphinx,123=abc,Ooo
247,blankie@pillowkingdom.ooo,Blanket,Dragon,123=abc,Ooo
248,goose@candykingdom.ooo,Choose,Goose,123=abc,Ooo
249,admin@gmail.com,null,null,123=abc,dasfasdf
250,alice@upenn.edu,null,null,123=abc,upenn
251,alice@upenn.edu.il,null,null,123=abc,upenn
252,ashwinb@wharton.upenn.edu,ashwin,baweja,123=abc,Penn
253,belmen@outldsdsdsdsook.com,null,null,123=abc,upenn
254,belmen@outlodsdsdsdsok.com,null,null,123=abc,upenn
255,belmen@outlodsdsdsok.com,null,null,123=abc,upenn
256,bob@aol.edu,bob,smith,123=abc,Ooo
257,bob@bob.com,Bob,Smith,123=abc,Penn
258,butler@candykingdom.ooo,Peppermint,Butler,123=abc,Ooo
259,carohjfdsakhfldsfhjdlasfhl@upenn.edu,null,null,123=abc,upenn
260,carol@upenn.edu,null,null,123=abc,upenn
261,cinnamon@candykingdom.ooo,Cinnamon,Bun,123=abc,Ooo
262,cxb@aa.com,null,null,123=abc,cxb
263,d@aaa.com,null,null,123=abc,Penn
264,d@adsdsdsaa.com,null,null,123=abc,Penn
265,d@upenn.com,null,null,123=abc,Penn
266,dbnerds@upenn.edu,null,null,123=abc,upenn
267,ddd@qq.com,null,null,123=abc,upenn
268,doorlord@candykingdom.ooo,Door,Lord,123=abc,Ooo
269,dsdsdssdsd@upenn.com,null,null,123=abc,Penn
270,ffdsdsdsff@ff.com,null,null,123=abc,ffff
271,ffff@ff.com,null,null,123=abc,ffff
272,fisho@icekingdom.ooo,Fisho,Colossal,123=abc,Ooo
273,gao@upenn.edu,null,null,123=abc,upenn
274,gaodsdsds@upenn.edu,null,null,123=abc,upenn
275,islandlady@candykingdom.ooo,Island,Lady,123=abc,Ooo
276,jane@aol.edu,jane,smith,123=abc,Ooo
277,joe@aol.edu,joe,smith,123=abc,Ooo
278,kingworm@candykingdom.ooo,King,Worm,123=abc,Ooo
279,lemongrab@lemonkingdom.ooo,Lemon,Grab,123=abc,Ooo
280,lsp@lumpyspace.ooo,Lumpy,Space Princess,123=abc,Ooo
281,mary@aol.edu,mary,smith,123=abc,Ooo
282,master@candykingdom.ooo,Master,Wizard,123=abc,Ooo
283,morrow@candykingdom.ooo,The,Morrow,123=abc,Ooo
284,partygod@candykingdom.ooo,Party,God,123=abc,Ooo
285,s@qdddddq.com,null,null,123=abc,ddd
286,s@qq.com,null,null,123=abc,ddd
287,sam@aol.edu,sammantha,smith,123=abc,Ooo
288,sarah@aol.com,sarah,smith,123=abc,Ooo
289,sillelewis@gmail.com,lewis,ellis,123=abc,Penn
290,steve@apple.com,steve,jobs,123=abc,Apple
291,susan@candykingdom.ooo,Susan,Strong,123=abc,Ooo
292,tux@gnu.org,tux,thepenguin,123=abc,Linux
293,wiz@candykingdom.ooo,Brain,Wiz,123=abc,Ooo
294,xuzongfdfdfdhan@gmail.com,null,null,123=abc,dsafasdf
295,xuzonghan@gmail.com,null,null,123=abc,dbnerds
296,xuzonghfdjfjkjfdan@gmail.com,null,null,123=abc,ddasdfa
